DBClusterIdentifier	Endpoint	Status	EndpointType
megatron-dataproc-prod	megatron-dataproc-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
megatron-dataproc-prod	megatron-dataproc-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
moosa-test-db	moosa-test-db.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
moosa-test-db	moosa-test-db.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
contract-service-prod	contract-service-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
contract-service-prod	contract-service-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
gtwy-travel-inv-prod	gtwy-travel-inv-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
gtwy-travel-inv-prod	gtwy-travel-inv-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
kb-subscription-prod	kb-subscription-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
kb-subscription-prod	kb-subscription-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
confluence-prod	confluence-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
confluence-prod	confluence-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
users-prod	users-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
users-prod	users-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
mobile-push-token-service-prod	mobile-push-token-service-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
mobile-push-token-service-prod	mobile-push-token-service-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
global-subscription-service-prod	global-subscription-service-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
global-subscription-service-prod	global-subscription-service-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
pg-au-noncore-us-701-prod	pg-au-noncore-us-701-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
pg-au-noncore-us-701-prod	pg-au-noncore-us-701-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-core-us-101-prod	my-core-us-101-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-core-us-101-prod	my-core-us-101-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
accounting-prod	accounting-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
accounting-prod	accounting-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
affiliate-track-prod	affiliate-track-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
affiliate-track-prod	affiliate-track-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
getaways-supply-prod	getaways-supply-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
getaways-supply-prod	getaways-supply-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
killbill-prod	killbill-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
killbill-prod	killbill-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
hue430-prod	hue430-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
hue430-prod	hue430-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
janus-metrics-prod	janus-metrics-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
janus-metrics-prod	janus-metrics-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
jira-prod	jira-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
jira-prod	jira-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ls-va-deals-prod	ls-va-deals-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ls-va-deals-prod	ls-va-deals-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
optimus-prod	optimus-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
optimus-prod	optimus-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
janus-prod	janus-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
janus-prod	janus-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
s3-engine-prod	s3-engine-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
s3-engine-prod	s3-engine-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
orders-msg-prod	orders-msg-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
orders-msg-prod	orders-msg-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
shipment-tracker-prod	shipment-tracker-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
shipment-tracker-prod	shipment-tracker-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
artifactory-prod	artifactory-prod.cluster-cjkehezkc6xn.us-west-2.rds.amazonaws.com	available	WRITER
artifactory-prod	artifactory-prod.cluster-ro-cjkehezkc6xn.us-west-2.rds.amazonaws.com	available	READER
my-noncore-us-111-prod	my-noncore-us-111-prod.cluster-cjkehezkc6xn.us-west-2.rds.amazonaws.com	available	WRITER
