InstanceConfig,Price_With_rep($/Month)
13 x cache.t2.medium,1647.3599999999997
26 x cache.t2.small,1647.3599999999997
26 x cache.t3.small,1647.3599999999997
52 x cache.t2.micro,1647.3599999999997
52 x cache.t3.micro,1647.3599999999997
55 x cache.t4g.micro,1663.1999999999998
53 x cache.t2.micro,1679.04
53 x cache.t3.micro,1679.04
14 x cache.t4g.medium,1693.4400000000003
28 x cache.t4g.small,1693.4400000000003
56 x cache.t4g.micro,1693.4400000000003
1 x cache.m6g.4xlarge,1707.84
2 x cache.m6g.2xlarge,1707.84
4 x cache.m6g.xlarge,1710.72
27 x cache.t2.small,1710.72
27 x cache.t3.small,1710.72
54 x cache.t2.micro,1710.72
54 x cache.t3.micro,1710.72
17 x cache.m5.large,1713.6000000000001
8 x cache.m6g.large,1716.4799999999998
57 x cache.t4g.micro,1723.68
6 x cache.r5.xlarge,1728.0000000000002
3 x cache.r5.2xlarge,1732.32
5 x cache.r5.large,1735.2
55 x cache.t2.micro,1742.3999999999999
55 x cache.t3.micro,1742.3999999999999
12 x cache.r5.large,1745.2800000000002
29 x cache.t4g.small,1753.92
58 x cache.t4g.micro,1753.92
14 x cache.t3.medium,1774.08
14 x cache.t2.medium,1774.08
28 x cache.t2.small,1774.08
28 x cache.t3.small,1774.08
56 x cache.t2.micro,1774.08
56 x cache.t3.micro,1774.08
3 x cache.r6g.xlarge,1775.52
6 x cache.r6g.large,1779.8400000000001
59 x cache.t4g.micro,1784.1600000000003
9 x cache.m5.xlarge,1801.44
57 x cache.t2.micro,1805.76
57 x cache.t3.micro,1805.76
15 x cache.t4g.medium,1814.4
30 x cache.t4g.small,1814.4
60 x cache.t4g.micro,1814.4
18 x cache.m5.large,1814.4000000000003
5 x cache.r4.large,1828.8
7 x cache.m5.large,1834.56
7 x cache.m4.large,1834.56
29 x cache.t2.small,1837.44
29 x cache.t3.small,1837.44
58 x cache.t2.micro,1837.44
58 x cache.t3.micro,1837.44
61 x cache.t4g.micro,1844.64
59 x cache.t2.micro,1869.1199999999997
59 x cache.t3.micro,1869.1199999999997
31 x cache.t4g.small,1874.88
62 x cache.t4g.micro,1874.88
13 x cache.r5.large,1890.7200000000003
15 x cache.t3.medium,1900.7999999999997
15 x cache.t2.medium,1900.7999999999997
30 x cache.t2.small,1900.7999999999997
30 x cache.t3.small,1900.7999999999997
60 x cache.t2.micro,1900.7999999999997
60 x cache.t3.micro,1900.7999999999997
63 x cache.t4g.micro,1905.1200000000001
19 x cache.m5.large,1915.2
9 x cache.m6g.large,1931.04
61 x cache.t2.micro,1932.48
61 x cache.t3.micro,1932.48
16 x cache.t4g.medium,1935.3600000000001
32 x cache.t4g.small,1935.3600000000001
64 x cache.t4g.micro,1935.3600000000001
31 x cache.t2.small,1964.1599999999999
31 x cache.t3.small,1964.1599999999999
