InstanceConfig,Price_With_rep($/Month)
102 x cache.t4g.micro,2496.9600000000005
1 x cache.r6gd.2xlarge,2505.6
2 x cache.r6gd.xlarge,2505.6
97 x cache.t2.micro,2514.24
97 x cache.t3.micro,2514.24
103 x cache.t4g.micro,2521.44
24 x cache.t2.medium,2522.8799999999997
27 x cache.m5.large,2527.2000000000003
49 x cache.t2.small,2540.16
49 x cache.t3.small,2540.16
98 x cache.t2.micro,2540.16
98 x cache.t3.micro,2540.16
26 x cache.t4g.medium,2545.92
52 x cache.t4g.small,2545.92
104 x cache.t4g.micro,2545.92
7 x cache.r4.large,2560.3199999999997
99 x cache.t2.micro,2566.0799999999995
99 x cache.t3.micro,2566.0799999999995
9 x cache.r5.xlarge,2566.08
105 x cache.t4g.micro,2570.4
25 x cache.t3.medium,2591.9999999999995
50 x cache.t2.small,2591.9999999999995
50 x cache.t3.small,2591.9999999999995
100 x cache.t2.micro,2591.9999999999995
100 x cache.t3.micro,2591.9999999999995
18 x cache.r5.large,2592.0
53 x cache.t4g.small,2594.88
106 x cache.t4g.micro,2594.88
11 x cache.m6g.large,2597.7599999999998
7 x cache.m5.2xlarge,2600.64
14 x cache.m5.xlarge,2600.64
101 x cache.t2.micro,2617.92
101 x cache.t3.micro,2617.92
107 x cache.t4g.micro,2619.3600000000006
28 x cache.m5.large,2620.8
25 x cache.t2.medium,2628.0
1 x cache.r6g.4xlarge,2638.0800000000004
2 x cache.r6g.2xlarge,2638.0800000000004
4 x cache.r6g.xlarge,2638.0800000000004
8 x cache.r6g.large,2638.0800000000004
51 x cache.t2.small,2643.8399999999997
51 x cache.t3.small,2643.8399999999997
102 x cache.t2.micro,2643.8399999999997
102 x cache.t3.micro,2643.8399999999997
27 x cache.t4g.medium,2643.84
54 x cache.t4g.small,2643.84
108 x cache.t4g.micro,2643.84
109 x cache.t4g.micro,2668.3200000000006
103 x cache.t2.micro,2669.7599999999998
103 x cache.t3.micro,2669.7599999999998
55 x cache.t4g.small,2692.8
110 x cache.t4g.micro,2692.8
26 x cache.t3.medium,2695.68
52 x cache.t2.small,2695.68
52 x cache.t3.small,2695.68
104 x cache.t2.micro,2695.68
104 x cache.t3.micro,2695.68
